Date,Actual_Sales,ARIMA_Forecast,CI_Lower,CI_Upper,MAPE,Best_Order
2012-08-12,1592409.97,1466619.848363105,1172999.561051799,1760240.135674411,4.045405167000413,"(2, 0, 2)"
2012-08-19,1597868.05,1601290.3381936948,1284347.3862991692,1918233.2900882205,,
2012-08-26,1494122.38,1549609.5948171727,1231884.022815788,1867335.1668185575,,
2012-09-02,1582083.4,1539867.757434895,1212177.8622866252,1867557.6525831649,,
2012-09-09,1661767.33,1574691.171807764,1238818.705604888,1910563.6380106402,,
2012-09-16,1517428.87,1542723.6123558544,1204559.6342863925,1880887.5904253162,,
2012-09-23,1506126.06,1559758.3801198858,1221536.5518099843,1897980.2084297873,,
2012-09-30,1437059.26,1557060.440210299,1218621.5409884676,1895499.3394321306,,
2012-10-07,1670785.97,1551792.8497505034,1212989.3163416544,1890596.3831593525,,
2012-10-14,1573072.81,1558612.81787874,1219638.7272482584,1897586.9085092214,,
2012-10-21,1508068.77,1553950.338014977,1214954.6620540638,1892946.0139758904,,
2012-10-28,1493659.74,1555606.704002508,1216609.2642152933,1894604.1437897226,,
