Date,Actual_Sales,ARIMA_Forecast,Prophet_Forecast,ARIMA_Pct_Error,Prophet_Pct_Error
2012-08-12,1592409.97,1466619.848363105,1610746.7029785367,7.89935531720484,-1.1515083002486317
2012-08-19,1597868.05,1601290.3381936948,1649166.3494688598,-0.21417839812835493,-3.210421503130987
2012-08-26,1494122.38,1549609.5948171727,1666014.0984066925,-3.7136994639738177,-11.504527387287554
2012-09-02,1582083.4,1539867.757434895,1627378.547071827,2.6683575951245606,-2.8630062784191534
2012-09-09,1661767.33,1574691.171807764,1565797.708144369,5.239972926428633,5.775153965485108
2012-09-16,1517428.87,1542723.6123558544,1543176.8040687814,-1.6669474830707713,-1.6968132462631558
2012-09-23,1506126.06,1559758.3801198858,1553146.2730632203,-3.560944966312164,-3.1219307806957577
2012-09-30,1437059.26,1557060.440210299,1566209.2998874232,-8.350468456693921,-8.98710606321295
2012-10-07,1670785.97,1551792.8497505034,1579074.5814457142,7.121984645914674,5.489116511690947
2012-10-14,1573072.81,1558612.81787874,1565483.6718737255,0.919219506518592,0.4824403599140824
2012-10-21,1508068.77,1553950.338014977,1547722.241531553,-3.042405553891089,-2.6294206418420134
2012-10-28,1493659.74,1555606.704002508,1575890.689961532,-4.147327690743541,-5.505333494597096
