Date,Actual_Sales,Prophet_Forecast,CI_Lower,CI_Upper,MAPE
2012-08-10,1592409.97,1610746.7029785367,1450153.1257040186,1756943.9450527665,4.368064877732287
2012-08-17,1597868.05,1649166.3494688598,1491694.5801766133,1820003.3370219253,
2012-08-24,1494122.38,1666014.0984066925,1507660.7522870146,1820946.2936898547,
2012-08-31,1582083.4,1627378.5470718273,1477623.2158461718,1784113.4327146132,
2012-09-07,1661767.33,1565797.708144369,1410007.1719106236,1733869.7160083258,
2012-09-14,1517428.87,1543176.8040687814,1392376.178280538,1702970.4505279784,
2012-09-21,1506126.06,1553146.2730632203,1392654.8910768165,1703200.0519961945,
2012-09-28,1437059.26,1566209.2998874232,1404804.9135656506,1724228.549328265,
2012-10-05,1670785.97,1579074.5814457142,1420327.879192706,1742772.5972170697,
2012-10-12,1573072.81,1565483.6718737257,1398227.4611794592,1721430.4528656336,
2012-10-19,1508068.77,1547722.241531553,1395484.8068781584,1694713.9334925949,
2012-10-26,1493659.74,1575890.6899615321,1425425.027456429,1738015.6464987884,
